chemicalParameter,units,PFHxS,PFOS,PFOA,PFNA,PFDA,PFUA
C_WTO,ng/mL,1.40E+00,3.50E-01,1.50E+00,0,7.10E-01,4.80E-01
C_s,ng/g (dw),0,0,0,0.00E+00,0,0.00E+00
Phi_exp,,1,1,1,1,1,1
